requirement,test_id,status
8.5d,tests/unit/test_architecture.py::test_cli_exposes_capabilities,passed
AR-1,tests/unit/test_frontend_reshape.py::test_reshape_dim_mismatch_skipped_with_reason,passed
AR-1,tests/unit/test_frontend_reshape.py::test_reshape_parsed_as_node,passed
AR-2,tests/unit/test_dag_shape.py::test_elementwise_preserves_shape,passed
AR-2,tests/unit/test_dag_shape.py::test_reduction_collapses_shape,passed
AR-2,tests/unit/test_dag_shape.py::test_scalar_shape_is_1x1,passed
AR-3,tests/unit/test_fxp_layout.py::test_golden_column_major_layout,passed
AR-3,tests/unit/test_fxp_layout.py::test_reshape_is_value_preserving_zero_latency,passed
AR-4,tests/integration/test_reshape_cosim.py::test_24x1_to_8x3_element_alignment,passed
AR-4,tests/unit/test_bisect.py::test_mismatch_refers_to_same_physical_element,passed
AR-5,tests/unit/test_codegen.py::test_reshape_emits_as_wire_not_instance,passed
AR-5,tests/unit/test_costmodel.py::test_reshape_zero_latency_zero_instances,passed
AU-1,tests/unit/test_costmodel.py::test_latencies_match_nkmatlib_model[12-8],passed
AU-1,tests/unit/test_costmodel.py::test_latencies_match_nkmatlib_model[16-12],passed
AU-1,tests/unit/test_costmodel.py::test_latencies_match_nkmatlib_model[18-14],passed
AU-1,tests/unit/test_costmodel.py::test_latencies_match_nkmatlib_model[20-12],passed
AU-1,tests/unit/test_costmodel.py::test_latencies_match_nkmatlib_model[32-16],passed
AU-1,tests/unit/test_costmodel.py::test_module_latency_table,passed
AU-2,tests/unit/test_audit.py::TestSchedule::test_census_highlights_dividers,passed
AU-2,tests/unit/test_audit.py::TestSchedule::test_parallel_chains_max,passed
AU-2,tests/unit/test_audit.py::TestSchedule::test_ready_times_and_critical_path,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_cdiv_general_constant,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_cdiv_power_of_two,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_cse,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_feedback,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_findings_each_carry_line_savings_suggestion,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_fuse,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_fuse_sub_variants,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_no_false_recip_on_constants,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_pow,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_pow_square_suggests_ssqr,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_recip,passed
AU-3,tests/unit/test_audit.py::TestFindings::test_serdiv,passed
AU-4,tests/unit/test_audit.py::TestOutputs::test_empty_file,passed
AU-4,tests/unit/test_audit.py::TestOutputs::test_json_nodes_have_stable_ids,passed
AU-4,tests/unit/test_audit.py::TestOutputs::test_structured_text_and_json_agree,passed
AU-5,tests/golden/test_golden_audit.py::test_json_report_matches_seed_golden[example],passed
AU-5,tests/golden/test_golden_audit.py::test_json_report_matches_seed_golden[feedback],passed
AU-5,tests/golden/test_golden_audit.py::test_json_report_matches_seed_golden[gen500],passed
AU-5,tests/golden/test_golden_audit.py::test_json_report_matches_seed_golden[normalize3d],passed
AU-5,tests/golden/test_golden_audit.py::test_json_report_matches_seed_golden[rootsqr],passed
AU-5,tests/golden/test_golden_audit.py::test_text_report_matches_seed_golden[example],passed
AU-5,tests/golden/test_golden_audit.py::test_text_report_matches_seed_golden[feedback],passed
AU-5,tests/golden/test_golden_audit.py::test_text_report_matches_seed_golden[gen500],passed
AU-5,tests/golden/test_golden_audit.py::test_text_report_matches_seed_golden[normalize3d],passed
AU-5,tests/golden/test_golden_audit.py::test_text_report_matches_seed_golden[rootsqr],passed
AX-1,tests/integration/test_engineer_workflow_e2e.py::test_axis_wrapper_elaborates,passed
BI-1,tests/unit/test_bisect.py::test_clean_run_reports_no_divergence,passed
BI-1,tests/unit/test_bisect.py::test_corrupted_stage_localized,passed
BI-1,tests/unit/test_bisect.py::test_unobserved_intermediates_tolerated,passed
BI-2,tests/unit/test_bisect.py::test_delay_skew_classified_not_wrong_math,passed
BI-3,tests/gui/test_polish.py::test_timeline_renders_bisection_states,passed
BI-3,tests/gui/test_views.py::test_bisection_view_marks_divergence,passed
BI-4,tests/integration/test_bisect_e2e.py::test_delay_skew_localized_end_to_end,passed
BI-4,tests/integration/test_bisect_e2e.py::test_wrong_math_localized_end_to_end,passed
C1,tests/unit/test_architecture.py::test_core_has_no_qt_imports,passed
C4,tests/unit/test_architecture.py::test_no_hardcoded_latencies_outside_costmodel,passed
CG-1,tests/gui/test_views.py::test_codegen_view_generates_and_lints_clean,passed
CG-1,tests/unit/test_codegen.py::test_outputs_aligned_to_final_stage,passed
CG-1,tests/unit/test_codegen.py::test_structure_of_generated_module,passed
CG-2,tests/unit/test_codegen.py::test_generated_code_passes_own_linter[cosim/sample.m-gen_sample],passed
CG-2,tests/unit/test_codegen.py::test_generated_code_passes_own_linter[normalize3d.m-gen_normalize3d],passed
CG-2,tests/unit/test_codegen.py::test_generated_code_passes_own_linter[rootsqr.m-gen_rootsqr],passed
CG-3,tests/integration/test_cosim_e2e.py::test_generated_rtl_passes_cosim,passed
CG-4,tests/unit/test_codegen.py::test_deterministic[cosim/sample.m-gen_sample],passed
CG-4,tests/unit/test_codegen.py::test_deterministic[normalize3d.m-gen_normalize3d],passed
CG-4,tests/unit/test_codegen.py::test_deterministic[rootsqr.m-gen_rootsqr],passed
CG-4,tests/unit/test_codegen.py::test_golden_files[cosim/sample.m-gen_sample],passed
CG-4,tests/unit/test_codegen.py::test_golden_files[normalize3d.m-gen_normalize3d],passed
CG-4,tests/unit/test_codegen.py::test_golden_files[rootsqr.m-gen_rootsqr],passed
CS-1,tests/unit/test_cosim.py::TestHarness::test_expected_matches_golden_model,passed
CS-1,tests/unit/test_cosim.py::TestHarness::test_generated_collateral,passed
CS-1,tests/unit/test_cosim.py::TestStimulus::test_all_inputs_in_every_vector,passed
CS-1,tests/unit/test_cosim.py::TestStimulus::test_corner_cases_present,passed
CS-1,tests/unit/test_cosim.py::TestStimulus::test_deterministic,passed
CS-2,tests/unit/test_cosim.py::TestToolDetection::test_missing_verilator_message_is_actionable,passed
CS-3,tests/gui/test_views.py::test_cosim_view_renders_result_and_broadcasts,passed
CS-3,tests/unit/test_cosim.py::TestCompare::test_first_failing_vector_reported,passed
CS-3,tests/unit/test_cosim.py::TestCompare::test_pass_with_error_stats,passed
CS-3,tests/unit/test_cosim.py::TestCompare::test_truncated_stream_fails,passed
CS-4,tests/integration/test_cosim_e2e.py::test_known_good_pair_passes_cosim,passed
CS-5,tests/unit/test_stimulus_hazard.py::test_hazard_vectors_deterministic,passed
CS-5,tests/unit/test_stimulus_hazard.py::test_near_zero_divisor_targeted,passed
CS-5,tests/unit/test_stimulus_hazard.py::test_overflow_node_operands_extremized,passed
CS-6,tests/integration/test_cosim_selftest.py::test_selftest_passes_under_gapped_valid,passed
CS-6,tests/unit/test_stimulus_cadence.py::test_continuous_is_unbroken,passed
CS-6,tests/unit/test_stimulus_cadence.py::test_gapped_valid_cadence,passed
CS-6,tests/unit/test_stimulus_cadence.py::test_single_cycle_valids,passed
CS-7,tests/integration/test_cosim_probe.py::test_observations_captured_from_probes,passed
CS-7,tests/unit/test_codegen_probe.py::test_no_probes_is_unchanged,passed
CS-7,tests/unit/test_codegen_probe.py::test_probe_wrapper_exposes_named_signals,passed
CS-8,tests/integration/test_cosim_trace_native.py::test_native_trace_bisection_localizes_wrong_math,passed
CS-8,tests/unit/test_cosim_trace.py::test_active_capture_backend_reported,passed
CS-8,tests/unit/test_cosim_trace.py::test_fst_signal_map_by_convention,passed
CS-8,tests/unit/test_cosim_trace.py::test_trace_streams_match_golden_shape,passed
CS-9,tests/integration/test_modular_cosim.py::test_group_isolated_against_sub_dag_golden,passed
CS-9,tests/integration/test_modular_cosim.py::test_sub_dag_isolates_just_the_operation,passed
DSE-1,tests/unit/test_dse.py::test_sweep_cancellation,passed
DSE-1,tests/unit/test_dse.py::test_sweep_evaluates_grid_with_progress,passed
DSE-2,tests/gui/test_dse_view.py::test_adopt_updates_workspace_format,passed
DSE-2,tests/gui/test_dse_view.py::test_pareto_rows_marked_and_selectable,passed
DSE-2,tests/unit/test_dse.py::TestPareto::test_dominated_points_removed,passed
DSE-2,tests/unit/test_dse.py::TestPareto::test_front_sorted_by_error,passed
DSE-2,tests/unit/test_dse.py::TestPareto::test_identical_metrics_both_kept,passed
DSE-3,tests/unit/test_dse.py::TestCacheAndExport::test_cache_round_trip,passed
DSE-3,tests/unit/test_dse.py::TestCacheAndExport::test_csv_and_json_export,passed
DX-1,tests/integration/test_triage.py::test_single_summary_combines_equivalence_bisect_inputs,passed
DX-1,tests/integration/test_triage.py::test_triage_reports_equivalence_drift_and_delay_skew,passed
DX-2,tests/unit/test_cli.py::test_cli_traceability,passed
DX-2,tests/unit/test_traceability.py::test_empty_map_exports_cleanly,passed
DX-2,tests/unit/test_traceability.py::test_export_matlab_to_rtl_with_per_stage_latency,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_all_binary_operators,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_comments_ignored,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_index_atom_is_opaque,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_known_function_call,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_line_continuation,passed
